twoPtPassId,playId,teamId,playerId,twoPtPassPosition,twoPtPassConv,twoPtPassSack,twoPtPassComp,twoPtPassNull
15453094,15008707,920,20190621,QB,failed,0,0,0
15453095,15009809,3000,20170534,QB,failed,0,0,0
15453096,15010315,2520,20170171,QB,failed,0,0,0
15453097,15010383,325,20190197,QB,good,0,1,1
15453098,15010396,325,20190197,QB,failed,0,0,0
15453138,15012803,750,20150870,QB,good,0,1,0
15453139,15013459,1200,20191036,QB,failed,0,0,0
15453140,15014101,2250,20180220,QB,failed,1,0,0
15453141,15014147,3200,20190133,QB,failed,0,0,0
15453142,15014229,3410,20180108,QB,failed,0,0,0
15453143,15014243,3410,20180108,QB,failed,0,0,0
15453144,15014394,3300,20170562,QB,failed,0,1,0
15453145,15014733,2520,20170171,QB,failed,1,0,0
15453183,15016746,3800,20190001,QB,good,0,1,0
15453184,15017587,2250,20190178,QB,failed,0,0,0
15453185,15018051,200,20080003,QB,failed,0,0,0
15453186,15018076,200,20080003,QB,failed,0,1,0
15453187,15018509,3430,20180003,QB,good,0,1,0
15453188,15019202,4500,20140062,QB,good,0,1,0
15453228,15020798,3700,20160002,QB,good,0,1,0
15453229,15020949,3800,20190001,QB,good,0,1,0
15453230,15021493,1400,20080018,QB,good,0,1,0
15453231,15022935,3900,20180076,QB,failed,0,0,0
15453273,15024929,610,20180007,QB,good,0,1,0
15453274,15026001,325,20180032,QB,failed,0,0,0
15453275,15027111,3410,20190006,QB,good,0,1,0
15453276,15027301,5110,20120511,QB,failed,0,0,0
15453318,15029255,1050,20180001,QB,failed,0,0,0
15453319,15029607,3000,20120102,QB,failed,0,1,0
15453320,15030081,3700,20160002,QB,failed,0,0,0
15453321,15030661,2510,20160001,QB,failed,0,0,0
